material,bandgap
CaHI,3.5269
Cs2CaH4,3.01
Zr(TiH2)2,0.0
Ti3SnH,0.0
Rb3MnH5,1.6939000000000002
Cs3MnH5,1.6533
Zr2CoH5,0.014000000000000234
ZrNiH3,0.0
LaNi5H7,0.0
YbNiH3,0.0
Ba7Cu3H17,1.4593999999999998
Rb2ZnH4,4.0139
Cs3ZnH5,2.7476
RbGaH2,1.3521
Sr(GaH)2,0.0
CsGaH4,4.7997
Ba5(Ga3H)2,0.3609
Sr5As3H,0.6763999999999997
YHSe,1.5080999999999998
CeHSe,0.0
PrHSe,1.9171
HoHSe,1.4980999999999995
Sr7(H6Br)2,3.7046
SrHBr,3.8289
BaHBr,3.2114
LaHBr2,3.5973999999999995
Eu2H3Br,0.0248999999999997
TbH2Br,1.6981999999999995
Rb2H4Pd,3.0255
Rb2H6Pt,4.0644
Rb2H4Pt,3.2877
Sr2H6Ru,2.2349000000000006
Sr2H5Rh,0.5802999999999998
SrHI,3.5902000000000003
Nb6HI11,1.1732
Ba2H6Ru,1.8699000000000001
Eu2H6Ru,0.09799999999999986
Cs3H5Pd,2.2702999999999998
EuH3Pd,0.0
Eu2H4Pd,0.3475999999999999
YbH3Pd,0.0
BaHI,2.8161
Ba2H3I,2.24
Yb(CsH2)2,3.1881
Cs2H6Pt,3.9085
Cs2H4Pt,3.2534
BaReH9,3.8349
Ba2H6Os,1.9655
Ba3(H6Ir)2,3.1548000000000003
Ba2H6Pt,1.7507
LiBeB,0.0
LiBeN,2.6858000000000004
Li2BeF4,7.5936
LiBeP,1.1585
LiBeAs,1.0077000000000003
LiBePd2,0
LiBe2Ir,0
LiBePt2,0.0
LiBeAu2,0
LiBC,0.8471000000000002
LiB6C,1.3921999999999999
LiB13C2,2.551
Li3BN2,3.3675999999999995
Li2B4O7,5.668
LiBO2,5.226
Li3B7O12,5.6047
Li3BO3,5.1473
Li7B18O,0.0
Li20B54O,0.0
Li6B4O9,4.8958
Li3B11O18,5.5447
LiBF4,8.246
LiAlB14,1.2527
LiSiB6,1.6762000000000006
Li5B7S13,3.5527999999999995
Li3BS3,3.0495
Li2B2S5,2.4427000000000003
Li2B2Se5,1.6310999999999996
Li2B2Rh3,0.0
Li2BPd3,0.0
LiBIr,0.0
LiBPt3,0.0
Li2BPt3,0.0
Li2CN2,3.7218
Li2CO3,5.0573999999999995
LiNO3,2.9369
LiMgN,2.2706999999999997
Li3AlN2,2.9371
LiSi2N3,5.0143
Li2SiN2,3.8508
Li5SiN3,2.1597999999999997
Li7PN4,3.4744
LiPN2,3.8015999999999996
Li4NCl,1.7617
LiCaN,1.3784999999999998
Li3ScN2,2.2440999999999995
Li5TiN3,1.5428000000000002
Li7VN4,3.011
Li15Cr2N9,1.3186
Li7MnN4,0.6562000000000001
Li3FeN2,0.0
Li5(NiN)3,0.0
Li47Cu7N18,0.2892000000000001
LiZnN,0.5083000000000002
Li3GaN2,2.3783
Li5GeN3,1.3538999999999999
LiGe2N3,2.7630000000000003
Li10BrN3,1.3667
Li5Br2N,2.0781
SrLi4N2,0.8873999999999999
SrLiN,0.2574000000000001
Li2ZrN2,1.5808
Li7NbN4,3.3305
Li6MoN4,2.6113
Li7IN2,1.6664
Li2CeN2,1.2157999999999998
LiTa3N4,0.0
Li4TaN3,2.6752
Li7TaN4,3.3394999999999997
Li6WN4,3.0573999999999995
Li5ReN4,2.8473
Li2ThN2,2.2243999999999993
LiUN2,0.0
Li5AlO4,4.662000000000001
LiAlO2,4.5899
LiAl5O8,5.2491
Li4SiO4,4.7841000000000005
Li8SiO6,4.4497
Li2Si2O5,5.154
Li2SiO3,5.0766
Li3PO4,5.818099999999999
LiPO3,5.5611999999999995
Li4P2O7,5.650799999999999
Li2S2O7,5.5360000000000005
Li2SO4,6.1629000000000005
LiClO4,5.7447
LiScO2,3.904
Li4TiO4,4.5573
Li2TiO3,3.0339
LiTiO2,0.0
LiTi2O4,0.0
Li4Ti5O12,2.6703
Li7Ti11O24,0.0
Li3VO4,4.0337
LiVO2,1.7864999999999998
LiVO3,2.8222
LiV2O5,1.6281999999999999
LiCrO2,3.0000999999999998
Li2CrO4,2.6021
Li3CrO4,1.1236000000000002
LiMnO2,0.0
